product_name,product_category,price,stock_quantity,supplier_name,supplier_email,supplier_phone,supplier_country
Смартфон 1,Одяг,3940.39,839,TechSupply UA,supplier0@trade.com,+380607368827,Німеччина
Ноутбук 2,Косметика,1832.31,456,EcoGoods Ltd,supplier1@trade.com,+380835207186,Китай
Футболка 3,Косметика,4871.62,106,GlobalMart,supplier2@trade.com,+380654527617,Туреччина
Джинси 4,Іграшки,4443.94,63,ProTrade Co,supplier3@trade.com,+380526910219,Україна
Кавоварка 5,Побутова хімія,1359.81,827,FastDelivery,supplier4@trade.com,+380820334794,США
Навушники 6,Косметика,1842.73,504,MegaStock,supplier5@trade.com,+380796034115,Туреччина
Книга «7»,Одяг,968.57,23,AlphaWholesale,supplier6@trade.com,+380723396513,Туреччина
Крісло 8,Продукти харчування,190.05,189,BetaDistrib,supplier7@trade.com,+380716006248,Польща
Велосипед 9,Авто,3562.92,804,GammaTrade,supplier8@trade.com,+380820938217,Німеччина
Помада 10,Книги,2737.41,937,DeltaGoods,supplier9@trade.com,+380908652236,Китай
Шампунь 11,Книги,3682.01,258,EpsilonMarket,supplier10@trade.com,+380652406182,Польща
Чай 12,Іграшки,4516.27,662,ZetaSupply,supplier11@trade.com,+380856596362,Польща
Кросівки 13,Одяг,80.54,699,EtaCommerce,supplier12@trade.com,+380699872406,Польща
Планшет 14,Одяг,3429.09,319,ThetaLogistics,supplier13@trade.com,+380886668904,Туреччина
Монітор 15,Книги,841.4,406,IotaRetail,supplier14@trade.com,+380683112911,Україна
Клавіатура 16,Продукти харчування,1880.15,365,KappaStore,supplier15@trade.com,+380919132737,Німеччина
Мишка 17,Книги,2624.66,385,LambdaHub,supplier16@trade.com,+380644186980,Китай
Рюкзак 18,Продукти харчування,310.01,478,MuDistrib,supplier17@trade.com,+380586116144,Китай
Куртка 19,Косметика,4592.54,609,NuSupplies,supplier18@trade.com,+380532206979,Франція
Холодильник 20,Продукти харчування,992.11,368,XiNetwork,supplier19@trade.com,+380966001638,США
Смартфон 21,Косметика,4374.02,946,TechSupply UA 2,supplier20@trade.com,+380788633570,Китай
Ноутбук 22,Меблі,566.71,127,EcoGoods Ltd 2,supplier21@trade.com,+380559889261,Китай
Футболка 23,Меблі,799.41,705,GlobalMart 2,supplier22@trade.com,+380513528495,Україна
