hotel_id,hotel_name,hotel_chain,city,rating,room_type,price_per_night_usd,free_rooms,reviews_count,availability_status,has_free_cancellation
BKG-2000,Palace Court,Kempinski Hotels,Одеса,9.2,Стандарт,56.36,6,1994,Доступний,Так
BKG-2001,Mountain Resort & Spa,Hyatt Hotels,Амстердам,9.8,Економ,52.91,13,4630,Доступний,Ні
BKG-2002,Riverside Inn,Wyndham Hotels,Лондон,6.0,Економ,83.74,2,293,Останній номер,Так
BKG-2003,Riverside House,Radisson Hotel Group,Київ,6.4,Стандарт,47.56,3,4679,Доступний,Так
BKG-2004,Riverside Suites,Wyndham Hotels,Будапешт,5.9,Стандарт,43.32,6,316,Доступний,Так
BKG-2005,Park Residence,Accor Group,Рим,8.3,Економ,49.14,12,249,Очікування,Ні
BKG-2006,Mountain Lodge,Best Western,Одеса,9.1,Економ,29.29,2,4819,Останній номер,Ні
BKG-2007,Palace House,IHG Hotels,Варшава,6.0,Стандарт,86.97,5,4091,Доступний,Ні
BKG-2008,Palace House,Hilton Hotels,Барселона,6.1,Люкс,645.62,4,4932,Доступний,Так
BKG-2009,Riverside Lodge,Radisson Hotel Group,Берлін,6.5,Сімейний,197.07,13,627,Доступний,Ні
BKG-2010,Harbour House,Accor Group,Одеса,8.5,Напівлюкс,115.46,12,3124,Очікування,Так
BKG-2011,Central Residence,IHG Hotels,Прага,5.5,Стандарт,81.5,15,427,Очікування,Так
BKG-2012,Central Court,Radisson Hotel Group,Прага,9.3,Сімейний,169.26,3,3637,Очікування,Ні
BKG-2013,City House,Accor Group,Париж,9.9,Стандарт,180.02,5,2724,Доступний,Ні
BKG-2014,Park Tower,Marriott International,Стамбул,6.9,Напівлюкс,153.24,1,4462,Останній номер,Ні
BKG-2015,Park Resort & Spa,IHG Hotels,Лісабон,8.9,Економ,53.39,10,1621,Очікування,Так
BKG-2016,City Tower,Hyatt Hotels,Рим,5.1,Люкс,593.94,7,2682,Доступний,Так
BKG-2017,Harbour Court,IHG Hotels,Київ,10.0,Люкс,318.9,12,3860,Очікування,Так
BKG-2018,Riverside Lodge,Marriott International,Будапешт,5.7,Напівлюкс,129.53,0,4491,Зайнятий,Так
BKG-2019,Harbour Court,Accor Group,Київ,7.8,Сімейний,138.37,2,1917,Останній номер,Ні
BKG-2020,Royal Suites,Best Western,Прага,5.7,Сімейний,136.31,9,353,Доступний,Ні
BKG-2021,Palace Inn,Radisson Hotel Group,Барселона,9.0,Сімейний,178.37,14,3190,Доступний,Так
